title,price,rating,availability,category,price_gbp,in_stock,price_inr
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Â£16.77,3,In stock,Nonfiction,16.77,True,1769.235
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Â£20.59,5,In stock,Default,20.59,True,2172.245
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Â£37.13,1,In stock,Nonfiction,37.13,True,3917.215
The Electric Pencil: Drawings from Inside State Hospital No. 3,Â£56.06,1,In stock,Nonfiction,56.06,True,5914.33
The Death of Humanity: and the Case for Life,Â£58.11,4,In stock,Philosophy,58.11,True,6130.605
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Â£49.05,3,In stock,Health,49.05,True,5174.775
The Art Forger,Â£40.76,3,In stock,Add a comment,40.76,True,4300.179999999999
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,Â£19.73,1,In stock,History,19.73,True,2081.515
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Â£32.24,5,In stock,Spirituality,32.24,True,3401.32
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Â£41.83,4,In stock,Nonfiction,41.83,True,4413.065
Soul Reader,Â£39.58,2,In stock,Default,39.58,True,4175.69
Security,Â£39.25,2,In stock,Horror,39.25,True,4140.875
"Saga, Volume 6 (Saga (Collected Editions) #6)",Â£25.02,3,In stock,Fantasy,25.02,True,2639.61
"Saga, Volume 5 (Saga (Collected Editions) #5)",Â£51.04,2,In stock,Sequential Art,51.04,True,5384.72
Reskilling America: Learning to Labor in the Twenty-First Century,Â£19.83,2,In stock,Nonfiction,19.83,True,2092.0649999999996
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Â£50.40,3,In stock,Sequential Art,50.4,True,5317.2
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Â£13.61,5,In stock,Sequential Art,13.61,True,1435.855
Princess Between Worlds (Wide-Awake Princess #5),Â£13.34,5,In stock,Fantasy,13.34,True,1407.37
"Pop Gun War, Volume 1: Gift",Â£18.97,1,In stock,Sequential Art,18.97,True,2001.3349999999998
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Â£36.28,2,In stock,History,36.28,True,3827.54
Patience,Â£10.16,3,In stock,Sequential Art,10.16,True,1071.88
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Â£15.44,4,In stock,Sequential Art,15.44,True,1628.9199999999998
orange: The Complete Collection 1 (orange: The Complete Collection #1),Â£48.41,1,In stock,Sequential Art,48.41,True,5107.254999999999
Online Marketing for Busy Authors: A Step-By-Step Guide,Â£46.35,1,In stock,Self Help,46.35,True,4889.925
On a Midnight Clear,Â£14.07,3,In stock,Add a comment,14.07,True,1484.385
Obsidian (Lux #1),Â£14.86,2,In stock,Young Adult,14.86,True,1567.73
My Paris Kitchen: Recipes and Stories,Â£33.37,2,In stock,Food and Drink,33.37,True,3520.535
Masks and Shadows,Â£56.40,2,In stock,Fantasy,56.4,True,5950.2
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Â£14.02,4,In stock,Food and Drink,14.02,True,1479.11
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Â£46.91,2,In stock,Sequential Art,46.91,True,4949.004999999999
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Â£45.61,3,In stock,Sequential Art,45.61,True,4811.855
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Â£19.92,2,In stock,Sequential Art,19.92,True,2101.5600000000004
"Layered: Baking, Building, and Styling Spectacular Cakes",Â£40.11,1,In stock,Food and Drink,40.11,True,4231.605
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Â£53.90,2,In stock,Add a comment,53.9,True,5686.45
Join,Â£35.67,5,In stock,Science Fiction,35.67,True,3763.1850000000004
In the Country We Love: My Family Divided,Â£22.00,4,In stock,Nonfiction,22.0,True,2321.0
